,state_code_year,month,WET_DRY_SPELL,PRECIPITATION,TEMPERATURE,CLIMAT,STATE_YEAR_MONTH
12417,NJ-2001,11,-2.94,1.0,48.8,continental humide ete sec,NJ-2001-11
13593,NJ-2001,12,-3.62,2.22,41.1,continental humide ete sec,NJ-2001-12
658,NJ-2002,1,-4.17,2.21,36.9,continental humide ete sec,NJ-2002-1
1834,NJ-2002,2,-4.99,0.75,38.4,continental humide ete sec,NJ-2002-2
3010,NJ-2002,3,-4.48,4.21,42.9,continental humide ete sec,NJ-2002-3
4186,NJ-2002,4,-4.19,3.83,53.9,continental humide ete sec,NJ-2002-4
5362,NJ-2002,5,-3.63,4.26,59.2,continental humide ete sec,NJ-2002-5
6538,NJ-2002,6,-2.8,4.94,70.1,continental humide ete sec,NJ-2002-6
7714,NJ-2002,7,-3.38,1.66,76.1,continental humide ete sec,NJ-2002-7
8890,NJ-2002,8,-3.59,3.73,75.8,continental humide ete sec,NJ-2002-8
10066,NJ-2002,9,-3.4,3.95,67.8,continental humide ete sec,NJ-2002-9
11242,NJ-2002,10,1.09,6.74,54.1,continental humide ete sec,NJ-2002-10
12418,NJ-2002,11,1.55,5.1,43.2,continental humide ete sec,NJ-2002-11
13594,NJ-2002,12,1.8,4.53,33.3,continental humide ete sec,NJ-2002-12
659,NJ-2003,1,1.32,2.54,26.4,continental humide ete sec,NJ-2003-1
1835,NJ-2003,2,1.97,4.69,28.2,continental humide ete sec,NJ-2003-2
3011,NJ-2003,3,1.78,4.07,41.3,continental humide ete sec,NJ-2003-3
4187,NJ-2003,4,1.31,2.86,48.5,continental humide ete sec,NJ-2003-4
5363,NJ-2003,5,1.23,3.77,56.9,continental humide ete sec,NJ-2003-5
6539,NJ-2003,6,3.07,8.43,67.4,continental humide ete sec,NJ-2003-6
7715,NJ-2003,7,2.67,3.87,74.5,continental humide ete sec,NJ-2003-7
8891,NJ-2003,8,2.48,4.92,75.1,continental humide ete sec,NJ-2003-8
10067,NJ-2003,9,2.98,6.26,66.9,continental humide ete sec,NJ-2003-9
11243,NJ-2003,10,3.62,4.99,52.9,continental humide ete sec,NJ-2003-10
12419,NJ-2003,11,3.42,4.32,48.5,continental humide ete sec,NJ-2003-11
13595,NJ-2003,12,3.87,5.76,35.5,continental humide ete sec,NJ-2003-12
660,NJ-2004,1,2.96,1.98,24.6,continental humide ete sec,NJ-2004-1
1836,NJ-2004,2,2.45,2.52,33.1,continental humide ete sec,NJ-2004-2
3012,NJ-2004,3,1.86,3.3,42.8,continental humide ete sec,NJ-2004-3
4188,NJ-2004,4,2.15,5.32,51.9,continental humide ete sec,NJ-2004-4
5364,NJ-2004,5,1.6,3.75,66.0,continental humide ete sec,NJ-2004-5
6540,NJ-2004,6,1.19,3.05,69.0,continental humide ete sec,NJ-2004-6
7716,NJ-2004,7,2.07,7.52,73.2,continental humide ete sec,NJ-2004-7
8892,NJ-2004,8,2.15,4.82,72.4,continental humide ete sec,NJ-2004-8
10068,NJ-2004,9,2.72,6.06,67.6,continental humide ete sec,NJ-2004-9
11244,NJ-2004,10,2.33,2.28,53.6,continental humide ete sec,NJ-2004-10
12420,NJ-2004,11,2.43,4.62,46.4,continental humide ete sec,NJ-2004-11
13596,NJ-2004,12,2.19,3.48,35.6,continental humide ete sec,NJ-2004-12
661,NJ-2005,1,2.34,4.35,30.1,continental humide ete sec,NJ-2005-1
1837,NJ-2005,2,-0.27,2.42,34.2,continental humide ete sec,NJ-2005-2
3013,NJ-2005,3,0.12,4.01,37.1,continental humide ete sec,NJ-2005-3
4189,NJ-2005,4,0.24,4.48,52.5,continental humide ete sec,NJ-2005-4
5365,NJ-2005,5,-0.32,2.56,56.6,continental humide ete sec,NJ-2005-5
6541,NJ-2005,6,-0.49,3.53,72.1,continental humide ete sec,NJ-2005-6
7717,NJ-2005,7,-0.47,4.64,76.0,continental humide ete sec,NJ-2005-7
8893,NJ-2005,8,-1.39,2.12,76.4,continental humide ete sec,NJ-2005-8
10069,NJ-2005,9,-2.4,1.19,70.2,continental humide ete sec,NJ-2005-9
11245,NJ-2005,10,2.88,11.99,56.3,continental humide ete sec,NJ-2005-10
12421,NJ-2005,11,2.66,3.91,47.4,continental humide ete sec,NJ-2005-11
13597,NJ-2005,12,2.49,3.61,32.5,continental humide ete sec,NJ-2005-12
662,NJ-2006,1,2.79,5.17,38.7,continental humide ete sec,NJ-2006-1
1838,NJ-2006,2,-0.57,1.76,34.2,continental humide ete sec,NJ-2006-2
3014,NJ-2006,3,-1.74,0.82,41.8,continental humide ete sec,NJ-2006-3
4190,NJ-2006,4,-1.78,3.64,53.4,continental humide ete sec,NJ-2006-4
5366,NJ-2006,5,-1.96,3.03,61.4,continental humide ete sec,NJ-2006-5
6542,NJ-2006,6,1.61,7.88,70.1,continental humide ete sec,NJ-2006-6
7718,NJ-2006,7,1.71,5.18,76.7,continental humide ete sec,NJ-2006-7
8894,NJ-2006,8,1.37,3.76,74.2,continental humide ete sec,NJ-2006-8
10070,NJ-2006,9,1.93,5.85,64.3,continental humide ete sec,NJ-2006-9
11246,NJ-2006,10,3.14,6.28,53.6,continental humide ete sec,NJ-2006-10
12422,NJ-2006,11,3.47,5.88,49.6,continental humide ete sec,NJ-2006-11
13598,NJ-2006,12,2.53,2.16,41.7,continental humide ete sec,NJ-2006-12
663,NJ-2007,1,2.28,3.6,36.7,continental humide ete sec,NJ-2007-1
1839,NJ-2007,2,1.61,1.97,27.1,continental humide ete sec,NJ-2007-2
3015,NJ-2007,3,1.48,4.11,40.9,continental humide ete sec,NJ-2007-3
4191,NJ-2007,4,3.1,8.45,48.6,continental humide ete sec,NJ-2007-4
5367,NJ-2007,5,-0.89,1.58,62.8,continental humide ete sec,NJ-2007-5
6543,NJ-2007,6,-0.82,4.05,70.6,continental humide ete sec,NJ-2007-6
7719,NJ-2007,7,-0.82,4.47,73.7,continental humide ete sec,NJ-2007-7
8895,NJ-2007,8,-0.89,4.49,73.4,continental humide ete sec,NJ-2007-8
10071,NJ-2007,9,-1.85,0.99,68.0,continental humide ete sec,NJ-2007-9
11247,NJ-2007,10,-1.42,5.5,62.1,continental humide ete sec,NJ-2007-10
12423,NJ-2007,11,-1.79,2.34,43.5,continental humide ete sec,NJ-2007-11
13599,NJ-2007,12,0.62,5.38,35.6,continental humide ete sec,NJ-2007-12
664,NJ-2008,1,0.04,2.06,34.3,continental humide ete sec,NJ-2008-1
1840,NJ-2008,2,1.02,5.24,35.2,continental humide ete sec,NJ-2008-2
3016,NJ-2008,3,0.0,4.09,41.7,continental humide ete sec,NJ-2008-3
4192,NJ-2008,4,-0.56,2.67,53.0,continental humide ete sec,NJ-2008-4
5368,NJ-2008,5,-0.22,4.57,57.9,continental humide ete sec,NJ-2008-5
6544,NJ-2008,6,-0.61,3.09,73.0,continental humide ete sec,NJ-2008-6
7720,NJ-2008,7,-0.85,3.92,76.0,continental humide ete sec,NJ-2008-7
8896,NJ-2008,8,-1.54,2.34,71.3,continental humide ete sec,NJ-2008-8
10072,NJ-2008,9,0.53,6.16,67.4,continental humide ete sec,NJ-2008-9
11248,NJ-2008,10,0.36,2.84,53.4,continental humide ete sec,NJ-2008-10
12424,NJ-2008,11,0.36,3.8,43.7,continental humide ete sec,NJ-2008-11
13600,NJ-2008,12,1.34,6.44,36.6,continental humide ete sec,NJ-2008-12
665,NJ-2009,1,-0.15,2.93,26.9,continental humide ete sec,NJ-2009-1
1841,NJ-2009,2,-1.23,0.66,35.1,continental humide ete sec,NJ-2009-2
3017,NJ-2009,3,-1.85,2.01,40.8,continental humide ete sec,NJ-2009-3
4193,NJ-2009,4,0.11,4.4,52.5,continental humide ete sec,NJ-2009-4
5369,NJ-2009,5,0.19,4.43,61.3,continental humide ete sec,NJ-2009-5
6545,NJ-2009,6,1.48,6.79,67.6,continental humide ete sec,NJ-2009-6
7721,NJ-2009,7,1.71,5.0,72.0,continental humide ete sec,NJ-2009-7
8897,NJ-2009,8,2.52,7.39,74.9,continental humide ete sec,NJ-2009-8
10073,NJ-2009,9,2.51,3.99,64.7,continental humide ete sec,NJ-2009-9
11249,NJ-2009,10,3.44,5.67,53.4,continental humide ete sec,NJ-2009-10
12425,NJ-2009,11,2.55,2.19,49.2,continental humide ete sec,NJ-2009-11
13601,NJ-2009,12,3.78,7.71,34.4,continental humide ete sec,NJ-2009-12
666,NJ-2010,1,3.13,2.64,31.2,continental humide ete sec,NJ-2010-1
1842,NJ-2010,2,3.57,4.62,31.1,continental humide ete sec,NJ-2010-2
3018,NJ-2010,3,4.74,8.66,46.2,continental humide ete sec,NJ-2010-3
4194,NJ-2010,4,-0.73,2.51,55.5,continental humide ete sec,NJ-2010-4
5370,NJ-2010,5,-1.02,3.35,64.0,continental humide ete sec,NJ-2010-5
6546,NJ-2010,6,-1.72,2.24,73.9,continental humide ete sec,NJ-2010-6
7722,NJ-2010,7,-2.08,4.07,78.3,continental humide ete sec,NJ-2010-7
8898,NJ-2010,8,-2.84,2.51,74.9,continental humide ete sec,NJ-2010-8
10074,NJ-2010,9,-3.07,3.18,69.2,continental humide ete sec,NJ-2010-9
11250,NJ-2010,10,-2.36,5.38,56.0,continental humide ete sec,NJ-2010-10
12426,NJ-2010,11,-2.73,2.17,45.0,continental humide ete sec,NJ-2010-11
13602,NJ-2010,12,-2.53,3.27,30.8,continental humide ete sec,NJ-2010-12
667,NJ-2011,1,0.0,3.33,27.2,continental humide ete sec,NJ-2011-1
1843,NJ-2011,2,0.02,3.07,34.4,continental humide ete sec,NJ-2011-2
3019,NJ-2011,3,0.58,5.55,41.2,continental humide ete sec,NJ-2011-3
4195,NJ-2011,4,1.03,5.67,53.9,continental humide ete sec,NJ-2011-4
5371,NJ-2011,5,0.71,3.77,63.7,continental humide ete sec,NJ-2011-5
6547,NJ-2011,6,0.4,3.43,71.9,continental humide ete sec,NJ-2011-6
7723,NJ-2011,7,0.04,4.11,78.4,continental humide ete sec,NJ-2011-7
8899,NJ-2011,8,3.36,15.67,73.5,continental humide ete sec,NJ-2011-8
10075,NJ-2011,9,4.11,7.12,68.9,continental humide ete sec,NJ-2011-9
11251,NJ-2011,10,4.22,4.19,55.8,continental humide ete sec,NJ-2011-10
12427,NJ-2011,11,3.79,3.83,48.9,continental humide ete sec,NJ-2011-11
13603,NJ-2011,12,3.56,4.21,40.5,continental humide ete sec,NJ-2011-12
668,NJ-2012,1,-0.27,2.78,35.6,continental humide ete sec,NJ-2012-1
1844,NJ-2012,2,-1.14,1.33,38.9,continental humide ete sec,NJ-2012-2
3020,NJ-2012,3,-2.25,1.65,49.8,continental humide ete sec,NJ-2012-3
4196,NJ-2012,4,-2.48,2.87,52.6,continental humide ete sec,NJ-2012-4
5372,NJ-2012,5,-2.35,4.27,65.1,continental humide ete sec,NJ-2012-5
6548,NJ-2012,6,-1.9,4.3,70.0,continental humide ete sec,NJ-2012-6
7724,NJ-2012,7,-2.08,3.43,77.8,continental humide ete sec,NJ-2012-7
8900,NJ-2012,8,-2.03,4.62,74.7,continental humide ete sec,NJ-2012-8
10076,NJ-2012,9,0.09,4.45,67.0,continental humide ete sec,NJ-2012-9
11252,NJ-2012,10,0.74,5.43,56.8,continental humide ete sec,NJ-2012-10
12428,NJ-2012,11,0.04,1.3,41.5,continental humide ete sec,NJ-2012-11
13604,NJ-2012,12,0.66,5.56,40.6,continental humide ete sec,NJ-2012-12
669,NJ-2013,1,-0.15,3.0,33.9,continental humide ete sec,NJ-2013-1
1845,NJ-2013,2,-0.17,2.89,32.8,continental humide ete sec,NJ-2013-2
3021,NJ-2013,3,-0.5,2.89,38.6,continental humide ete sec,NJ-2013-3
4197,NJ-2013,4,-0.96,2.6,51.5,continental humide ete sec,NJ-2013-4
5373,NJ-2013,5,-0.95,3.82,60.9,continental humide ete sec,NJ-2013-5
6549,NJ-2013,6,2.2,9.49,71.2,continental humide ete sec,NJ-2013-6
7725,NJ-2013,7,2.22,5.27,77.8,continental humide ete sec,NJ-2013-7
8901,NJ-2013,8,2.21,4.67,71.4,continental humide ete sec,NJ-2013-8
10077,NJ-2013,9,-0.4,2.11,64.4,continental humide ete sec,NJ-2013-9
11253,NJ-2013,10,-0.95,2.01,57.1,continental humide ete sec,NJ-2013-10
12429,NJ-2013,11,-1.2,2.89,42.9,continental humide ete sec,NJ-2013-11
13605,NJ-2013,12,0.42,4.74,36.0,continental humide ete sec,NJ-2013-12
670,NJ-2014,1,0.29,3.12,26.0,continental humide ete sec,NJ-2014-1
1846,NJ-2014,2,1.18,4.96,29.5,continental humide ete sec,NJ-2014-2
3022,NJ-2014,3,1.21,3.97,35.4,continental humide ete sec,NJ-2014-3
4198,NJ-2014,4,1.29,4.42,50.3,continental humide ete sec,NJ-2014-4
5374,NJ-2014,5,1.32,4.72,62.0,continental humide ete sec,NJ-2014-5
6550,NJ-2014,6,-0.21,3.32,70.6,continental humide ete sec,NJ-2014-6
7726,NJ-2014,7,0.27,5.23,74.1,continental humide ete sec,NJ-2014-7
8902,NJ-2014,8,-0.04,4.08,70.8,continental humide ete sec,NJ-2014-8
10078,NJ-2014,9,-0.48,2.5,66.9,continental humide ete sec,NJ-2014-9
11254,NJ-2014,10,-0.5,3.64,57.0,continental humide ete sec,NJ-2014-10
12430,NJ-2014,11,0.2,4.34,42.0,continental humide ete sec,NJ-2014-11
13606,NJ-2014,12,0.53,4.65,38.7,continental humide ete sec,NJ-2014-12
671,NJ-2015,1,0.88,4.43,27.9,continental humide ete sec,NJ-2015-1
1847,NJ-2015,2,0.45,2.18,22.3,continental humide ete sec,NJ-2015-2
3023,NJ-2015,3,0.76,4.55,35.9,continental humide ete sec,NJ-2015-3
4199,NJ-2015,4,-0.49,2.67,51.5,continental humide ete sec,NJ-2015-4
5375,NJ-2015,5,-1.59,1.21,66.1,continental humide ete sec,NJ-2015-5
6551,NJ-2015,6,1.54,8.12,70.3,continental humide ete sec,NJ-2015-6
7727,NJ-2015,7,-0.17,3.68,75.2,continental humide ete sec,NJ-2015-7
8903,NJ-2015,8,-0.91,2.26,74.3,continental humide ete sec,NJ-2015-8
10079,NJ-2015,9,-1.17,3.6,70.7,continental humide ete sec,NJ-2015-9
11255,NJ-2015,10,-1.0,4.02,54.5,continental humide ete sec,NJ-2015-10
12431,NJ-2015,11,-1.6,2.3,49.7,continental humide ete sec,NJ-2015-11
13607,NJ-2015,12,-1.39,4.84,48.0,continental humide ete sec,NJ-2015-12
672,NM-1992,1,4.76,0.94,31.6,steppe,NM-1992-1
1848,NM-1992,2,4.29,0.53,39.4,steppe,NM-1992-2
3024,NM-1992,3,4.06,0.88,45.3,steppe,NM-1992-3
4200,NM-1992,4,3.88,0.62,54.6,steppe,NM-1992-4
5376,NM-1992,5,5.73,3.01,59.4,steppe,NM-1992-5
6552,NM-1992,6,6.24,1.28,66.9,steppe,NM-1992-6
7728,NM-1992,7,6.24,2.26,71.5,steppe,NM-1992-7
8904,NM-1992,8,5.92,2.53,69.9,steppe,NM-1992-8
10080,NM-1992,9,4.65,0.84,65.3,steppe,NM-1992-9
11256,NM-1992,10,3.72,0.66,56.4,steppe,NM-1992-10
12432,NM-1992,11,3.46,0.56,37.8,steppe,NM-1992-11
13608,NM-1992,12,3.85,1.42,32.6,steppe,NM-1992-12
673,NM-1993,1,4.47,1.68,36.8,steppe,NM-1993-1
1849,NM-1993,2,4.43,0.95,38.2,steppe,NM-1993-2
3025,NM-1993,3,4.07,0.76,45.0,steppe,NM-1993-3
4201,NM-1993,4,3.63,0.32,52.2,steppe,NM-1993-4
5377,NM-1993,5,3.45,0.83,60.5,steppe,NM-1993-5
6553,NM-1993,6,3.31,0.96,69.2,steppe,NM-1993-6
7729,NM-1993,7,2.68,1.8,73.6,steppe,NM-1993-7
8905,NM-1993,8,3.8,4.15,70.5,steppe,NM-1993-8
10081,NM-1993,9,-0.72,0.74,63.6,steppe,NM-1993-9
11257,NM-1993,10,-0.76,0.9,52.7,steppe,NM-1993-10
12433,NM-1993,11,-0.47,0.76,40.0,steppe,NM-1993-11
13609,NM-1993,12,-0.84,0.25,35.4,steppe,NM-1993-12
674,NM-1994,1,-1.24,0.25,35.2,steppe,NM-1994-1
1850,NM-1994,2,-1.35,0.42,37.2,steppe,NM-1994-2
3026,NM-1994,3,-1.17,0.99,46.0,steppe,NM-1994-3
4202,NM-1994,4,-1.12,0.72,52.2,steppe,NM-1994-4
5378,NM-1994,5,0.7,2.27,61.1,steppe,NM-1994-5
6554,NM-1994,6,-0.96,0.59,73.7,steppe,NM-1994-6
7730,NM-1994,7,-1.69,1.64,74.5,steppe,NM-1994-7
8906,NM-1994,8,-2.02,2.19,73.6,steppe,NM-1994-8
10082,NM-1994,9,-2.17,1.39,65.4,steppe,NM-1994-9
11258,NM-1994,10,0.21,1.37,53.5,steppe,NM-1994-10
12434,NM-1994,11,1.03,1.58,42.5,steppe,NM-1994-11
13610,NM-1994,12,1.1,1.02,38.4,steppe,NM-1994-12
675,NM-1995,1,1.27,0.94,35.7,steppe,NM-1995-1
1851,NM-1995,2,-0.45,0.49,44.0,steppe,NM-1995-2
3027,NM-1995,3,-0.55,0.7,45.7,steppe,NM-1995-3
4203,NM-1995,4,-0.46,0.64,49.5,steppe,NM-1995-4
5379,NM-1995,5,-0.22,1.21,58.7,steppe,NM-1995-5
6555,NM-1995,6,-0.09,1.16,67.4,steppe,NM-1995-6
7731,NM-1995,7,-0.86,1.33,72.6,steppe,NM-1995-7
8907,NM-1995,8,-1.32,2.07,73.7,steppe,NM-1995-8
10083,NM-1995,9,-0.69,2.43,65.0,steppe,NM-1995-9
11259,NM-1995,10,-1.52,0.09,55.3,steppe,NM-1995-10
12435,NM-1995,11,-1.97,0.26,46.7,steppe,NM-1995-11
13611,NM-1995,12,-2.18,0.42,37.5,steppe,NM-1995-12
676,NM-1996,1,-2.4,0.38,36.3,steppe,NM-1996-1
1852,NM-1996,2,-2.79,0.45,42.9,steppe,NM-1996-2
3028,NM-1996,3,-3.23,0.17,43.4,steppe,NM-1996-3
4204,NM-1996,4,-3.86,0.2,53.2,steppe,NM-1996-4
5380,NM-1996,5,-4.93,0.19,66.7,steppe,NM-1996-5
6556,NM-1996,6,0.59,2.44,72.0,steppe,NM-1996-6
7732,NM-1996,7,0.85,2.9,73.8,steppe,NM-1996-7
8908,NM-1996,8,1.07,2.97,71.0,steppe,NM-1996-8
10084,NM-1996,9,1.43,2.24,62.3,steppe,NM-1996-9
11260,NM-1996,10,1.55,1.44,53.6,steppe,NM-1996-10
12436,NM-1996,11,1.26,0.62,43.9,steppe,NM-1996-11
13612,NM-1996,12,0.48,0.13,37.0,steppe,NM-1996-12
677,NM-1997,1,0.84,1.11,32.9,steppe,NM-1997-1
1853,NM-1997,2,1.06,0.94,36.9,steppe,NM-1997-2
3029,NM-1997,3,0.28,0.22,47.4,steppe,NM-1997-3
4205,NM-1997,4,1.09,1.87,48.5,steppe,NM-1997-4
5381,NM-1997,5,1.24,1.33,61.4,steppe,NM-1997-5
6557,NM-1997,6,1.57,1.81,68.5,steppe,NM-1997-6
7733,NM-1997,7,1.65,2.57,72.9,steppe,NM-1997-7
8909,NM-1997,8,1.44,2.52,71.6,steppe,NM-1997-8
10085,NM-1997,9,1.81,2.67,67.9,steppe,NM-1997-9
11261,NM-1997,10,1.5,0.96,53.7,steppe,NM-1997-10
12437,NM-1997,11,1.52,0.82,41.8,steppe,NM-1997-11
13613,NM-1997,12,2.46,1.82,31.3,steppe,NM-1997-12
678,NM-1998,1,1.7,0.18,37.1,steppe,NM-1998-1
1854,NM-1998,2,1.73,0.78,37.3,steppe,NM-1998-2
3030,NM-1998,3,2.34,1.46,43.1,steppe,NM-1998-3
4206,NM-1998,4,2.45,0.56,48.3,steppe,NM-1998-4
5382,NM-1998,5,-0.59,0.06,61.8,steppe,NM-1998-5
6558,NM-1998,6,-1.22,0.19,69.9,steppe,NM-1998-6
7734,NM-1998,7,-0.09,3.52,74.3,steppe,NM-1998-7
8910,NM-1998,8,-0.4,2.14,71.5,steppe,NM-1998-8
10086,NM-1998,9,-1.34,0.82,68.9,steppe,NM-1998-9
11262,NM-1998,10,1.66,3.27,55.4,steppe,NM-1998-10
12438,NM-1998,11,1.66,0.73,45.7,steppe,NM-1998-11
13614,NM-1998,12,-0.31,0.39,36.9,steppe,NM-1998-12
679,NM-1999,1,-0.66,0.51,39.3,steppe,NM-1999-1
1855,NM-1999,2,-1.45,0.05,42.6,steppe,NM-1999-2
3031,NM-1999,3,-1.56,0.86,46.9,steppe,NM-1999-3
4207,NM-1999,4,0.39,1.45,50.3,steppe,NM-1999-4
5383,NM-1999,5,0.57,1.56,59.8,steppe,NM-1999-5
6559,NM-1999,6,0.67,1.56,68.3,steppe,NM-1999-6
7735,NM-1999,7,1.35,3.19,72.4,steppe,NM-1999-7
8911,NM-1999,8,1.92,3.44,71.1,steppe,NM-1999-8
10087,NM-1999,9,-0.15,1.57,64.4,steppe,NM-1999-9
11263,NM-1999,10,-0.79,0.38,55.0,steppe,NM-1999-10
12439,NM-1999,11,-1.6,0.02,47.7,steppe,NM-1999-11
13615,NM-1999,12,-1.76,0.36,34.2,steppe,NM-1999-12
680,NM-2000,1,-2.32,0.23,38.9,steppe,NM-2000-1
1856,NM-2000,2,-3.11,0.16,43.7,steppe,NM-2000-2
3032,NM-2000,3,-2.42,1.62,45.7,steppe,NM-2000-3
4208,NM-2000,4,-2.85,0.34,55.5,steppe,NM-2000-4
5384,NM-2000,5,-4.04,0.12,66.0,steppe,NM-2000-5
6560,NM-2000,6,-3.11,2.27,70.7,steppe,NM-2000-6
7736,NM-2000,7,-3.58,1.71,74.6,steppe,NM-2000-7
8912,NM-2000,8,-4.09,1.69,73.2,steppe,NM-2000-8
10088,NM-2000,9,-5.1,0.22,68.0,steppe,NM-2000-9
11264,NM-2000,10,1.69,3.23,53.9,steppe,NM-2000-10
12440,NM-2000,11,2.45,1.29,37.1,steppe,NM-2000-11
13616,NM-2000,12,2.15,0.48,35.2,steppe,NM-2000-12
681,NM-2001,1,2.68,1.16,31.8,steppe,NM-2001-1
1857,NM-2001,2,2.55,0.7,39.3,steppe,NM-2001-2
3033,NM-2001,3,2.7,1.06,44.4,steppe,NM-2001-3
4209,NM-2001,4,2.49,0.41,54.2,steppe,NM-2001-4
5385,NM-2001,5,2.59,1.02,63.1,steppe,NM-2001-5
6561,NM-2001,6,2.38,0.8,71.5,steppe,NM-2001-6
7737,NM-2001,7,-0.45,1.78,75.2,steppe,NM-2001-7
8913,NM-2001,8,-0.52,2.39,71.5,steppe,NM-2001-8
10089,NM-2001,9,-1.24,0.92,66.7,steppe,NM-2001-9
11265,NM-2001,10,-1.97,0.23,56.8,steppe,NM-2001-10
12441,NM-2001,11,-1.68,0.94,45.7,steppe,NM-2001-11
13617,NM-2001,12,-1.8,0.41,34.7,steppe,NM-2001-12
682,NM-2002,1,-1.88,0.52,36.0,steppe,NM-2002-1
1858,NM-2002,2,-2.0,0.33,37.0,steppe,NM-2002-2
3034,NM-2002,3,-2.04,0.43,43.6,steppe,NM-2002-3
4210,NM-2002,4,-2.81,0.26,57.3,steppe,NM-2002-4
5386,NM-2002,5,-3.78,0.14,62.7,steppe,NM-2002-5
6562,NM-2002,6,-4.31,0.73,73.8,steppe,NM-2002-6
7738,NM-2002,7,-4.12,2.25,73.8,steppe,NM-2002-7
8914,NM-2002,8,-4.53,1.75,73.2,steppe,NM-2002-8
10090,NM-2002,9,-3.47,2.61,65.4,steppe,NM-2002-9
11266,NM-2002,10,-2.74,1.54,52.8,steppe,NM-2002-10
12442,NM-2002,11,-2.56,0.56,42.5,steppe,NM-2002-11
13618,NM-2002,12,-1.9,1.17,34.5,steppe,NM-2002-12
683,NM-2003,1,-2.61,0.07,40.2,steppe,NM-2003-1
1859,NM-2003,2,-2.03,1.07,38.6,steppe,NM-2003-2
3035,NM-2003,3,-1.89,0.67,45.1,steppe,NM-2003-3
4211,NM-2003,4,-2.23,0.16,52.9,steppe,NM-2003-4
5387,NM-2003,5,-3.0,0.38,63.2,steppe,NM-2003-5
6563,NM-2003,6,-2.88,1.26,69.2,steppe,NM-2003-6
7739,NM-2003,7,-4.31,0.78,76.8,steppe,NM-2003-7
8915,NM-2003,8,-4.81,1.63,73.5,steppe,NM-2003-8
10091,NM-2003,9,-5.07,0.94,66.0,steppe,NM-2003-9
11267,NM-2003,10,-4.87,1.03,58.9,steppe,NM-2003-10
12443,NM-2003,11,-4.31,0.86,44.6,steppe,NM-2003-11
13619,NM-2003,12,-4.42,0.22,36.8,steppe,NM-2003-12
684,NM-2004,1,-4.35,0.49,36.6,steppe,NM-2004-1
1860,NM-2004,2,0.46,1.07,35.0,steppe,NM-2004-2
3036,NM-2004,3,0.11,0.87,49.7,steppe,NM-2004-3
4212,NM-2004,4,1.53,2.61,51.4,steppe,NM-2004-4
5388,NM-2004,5,0.77,0.17,63.1,steppe,NM-2004-5
6564,NM-2004,6,0.48,1.2,69.9,steppe,NM-2004-6
7740,NM-2004,7,0.4,2.32,72.3,steppe,NM-2004-7
8916,NM-2004,8,0.22,2.25,69.3,steppe,NM-2004-8
10092,NM-2004,9,0.58,2.22,63.9,steppe,NM-2004-9
11268,NM-2004,10,0.89,1.61,54.2,steppe,NM-2004-10
12444,NM-2004,11,1.82,1.71,41.4,steppe,NM-2004-11
13620,NM-2004,12,1.69,0.73,35.7,steppe,NM-2004-12
685,NM-2005,1,2.27,1.63,39.9,steppe,NM-2005-1
1861,NM-2005,2,3.19,1.85,40.1,steppe,NM-2005-2
3037,NM-2005,3,3.4,1.13,43.1,steppe,NM-2005-3
4213,NM-2005,4,3.6,0.84,51.7,steppe,NM-2005-4
5389,NM-2005,5,3.98,1.21,61.6,steppe,NM-2005-5
6565,NM-2005,6,3.66,0.47,69.8,steppe,NM-2005-6
7741,NM-2005,7,-1.04,0.98,75.0,steppe,NM-2005-7
8917,NM-2005,8,-0.48,3.03,70.8,steppe,NM-2005-8
10093,NM-2005,9,-0.52,1.83,67.3,steppe,NM-2005-9
11269,NM-2005,10,-0.43,1.24,55.2,steppe,NM-2005-10
12445,NM-2005,11,-1.09,0.06,45.3,steppe,NM-2005-11
13621,NM-2005,12,-1.67,0.07,36.8,steppe,NM-2005-12
686,NM-2006,1,-2.32,0.16,38.2,steppe,NM-2006-1
1862,NM-2006,2,-2.89,0.11,40.1,steppe,NM-2006-2
3038,NM-2006,3,-3.17,0.55,45.3,steppe,NM-2006-3
4214,NM-2006,4,-3.93,0.29,56.2,steppe,NM-2006-4
5390,NM-2006,5,-4.71,0.39,65.0,steppe,NM-2006-5
6566,NM-2006,6,-4.83,1.05,73.0,steppe,NM-2006-6
7742,NM-2006,7,0.54,3.21,74.6,steppe,NM-2006-7
8918,NM-2006,8,2.3,4.78,70.2,steppe,NM-2006-8
10094,NM-2006,9,2.76,2.36,60.9,steppe,NM-2006-9
11270,NM-2006,10,3.09,1.88,53.6,steppe,NM-2006-10
12446,NM-2006,11,2.17,0.17,45.3,steppe,NM-2006-11
13622,NM-2006,12,2.21,1.02,34.5,steppe,NM-2006-12
687,NM-2007,1,2.44,1.04,30.8,steppe,NM-2007-1
1863,NM-2007,2,2.03,0.53,39.2,steppe,NM-2007-2
3039,NM-2007,3,1.89,1.03,47.6,steppe,NM-2007-3
4215,NM-2007,4,1.88,0.77,51.6,steppe,NM-2007-4
5391,NM-2007,5,2.43,1.98,60.0,steppe,NM-2007-5
6567,NM-2007,6,-0.03,1.14,69.8,steppe,NM-2007-6
7743,NM-2007,7,0.0,2.33,73.3,steppe,NM-2007-7
8919,NM-2007,8,-0.61,1.99,73.7,steppe,NM-2007-8
10095,NM-2007,9,-0.66,1.8,67.0,steppe,NM-2007-9
11271,NM-2007,10,-1.42,0.25,56.5,steppe,NM-2007-10
